============================================================
  TRANSITION DETECTION RATE (TDR) — TEST SET
============================================================
  Probability threshold      : 0.3
  Early-warning window       : 14 days
  Total INACTIVE periods     : 137
  Detected periods           : 120
  Transition Detection Rate  : 87.6%
  Mean lead time (detected)  : 13.7 days
  Median lead time           : 14.0 days
============================================================

Per-period breakdown:
                     dev period_start period_end  period_length_days  detected  lead_time_days  max_prob_in_window
        MDQ6VXNlcjMzODc=   2016-12-29 2017-01-02                   5     False             NaN            0.110020
        MDQ6VXNlcjMzODc=   2018-01-13 2018-01-21                   9     False             NaN            0.180988
        MDQ6VXNlcjMzODc=   2019-05-15 2019-05-28                  14      True            14.0            0.998396
        MDQ6VXNlcjMzODc=   2021-11-22 2021-11-28                   7      True            14.0            0.998707
        MDQ6VXNlcjMzODc=   2022-04-26 2022-04-30                   5      True            14.0            0.997048
        MDQ6VXNlcjMzODc=   2022-05-22 2022-05-24                   3      True            14.0            0.986743
        MDQ6VXNlcjMzODc=   2022-06-12 2022-06-12                   1      True            14.0            0.924122
        MDQ6VXNlcjMzODc=   2022-06-14 2022-07-27                  44      True            14.0            0.999268
        MDQ6VXNlcjMzODc=   2022-07-31 2022-08-15                  16      True            14.0            0.998051
        MDQ6VXNlcjMzODc=   2022-09-03 2022-10-03                  31      True            14.0            0.996622
        MDQ6VXNlcjMzODc=   2022-10-22 2022-11-21                  31      True            13.0            0.999167
        MDQ6VXNlcjMzODc=   2024-12-06 2025-04-24                 140      True            14.0            0.998097
        MDQ6VXNlcjQ3ODQ4   2011-01-13 2011-03-02                  49      True             9.0            0.995631
        MDQ6VXNlcjQ3ODQ4   2011-09-06 2011-10-12                  37      True            14.0            0.993509
        MDQ6VXNlcjQ3ODQ4   2013-12-21 2013-12-22                   2      True            14.0            0.925931
        MDQ6VXNlcjQ3ODQ4   2014-02-20 2014-02-25                   6      True            14.0            0.998935
        MDQ6VXNlcjQ3ODQ4   2014-03-05 2014-03-07                   3      True            14.0            0.998416
        MDQ6VXNlcjQ3ODQ4   2016-08-30 2016-09-11                  13      True            14.0            0.997444
        MDQ6VXNlcjQ3ODQ4   2017-01-21 2017-01-26                   6      True            13.0            0.930226
        MDQ6VXNlcjQ3ODQ4   2017-09-04 2017-10-03                  30      True             8.0            0.990492
        MDQ6VXNlcjQ3ODQ4   2018-01-08 2018-01-09                   2     False             NaN            0.291801
        MDQ6VXNlcjQ3ODQ4   2018-08-16 2018-08-19                   4     False             NaN            0.149901
        MDQ6VXNlcjQ3ODQ4   2019-07-14 2019-07-14                   1      True            14.0            0.997295
        MDQ6VXNlcjQ3ODQ4   2019-08-31 2019-09-03                   4      True            14.0            0.998752
        MDQ6VXNlcjQ3ODQ4   2021-05-13 2021-06-01                  20      True            14.0            0.998779
        MDQ6VXNlcjQ3ODQ4   2022-03-29 2022-03-30                   2      True            14.0            0.702243
        MDQ6VXNlcjQ3ODQ4   2022-05-02 2022-05-10                   9      True            14.0            0.998121
        MDQ6VXNlcjQ3ODQ4   2023-04-07 2023-04-09                   3      True            14.0            0.998356
        MDQ6VXNlcjQ3ODQ4   2023-09-16 2023-09-18                   3      True            14.0            0.999086
        MDQ6VXNlcjQ3ODQ4   2023-11-04 2023-11-06                   3      True            14.0            0.998493
        MDQ6VXNlcjQ3ODQ4   2024-07-07 2024-07-07                   1      True            14.0            0.936700
        MDQ6VXNlcjQ3ODQ4   2024-11-29 2024-12-01                   3      True            14.0            0.909227
        MDQ6VXNlcjQ3ODQ4   2025-02-10 2025-02-13                   4      True            14.0            0.943596
        MDQ6VXNlcjQ3ODQ4   2025-03-22 2025-05-05                  45      True            14.0            0.997322
        MDQ6VXNlcjQ3ODQ4   2025-05-28 2025-07-16                  50      True            14.0            0.999475
        MDQ6VXNlcjQ3ODQ4   2025-11-06 2025-11-06                   1     False             NaN            0.013401
        MDQ6VXNlcjQ3ODQ4   2025-11-17 2025-11-18                   2      True            14.0            0.996618
        MDQ6VXNlcjQ3ODQ4   2025-11-30 2025-12-04                   5      True            14.0            0.998419
        MDQ6VXNlcjQ3ODQ4   2025-12-18 2026-01-05                  19      True            14.0            0.996406
        MDQ6VXNlcjUwMDQ=   2011-01-01 2011-02-08                  39     False             NaN            0.024262
        MDQ6VXNlcjUwMDQ=   2011-02-10 2011-03-21                  40      True            14.0            0.993357
        MDQ6VXNlcjUwMDQ=   2011-09-08 2011-11-22                  76      True            14.0            0.994578
        MDQ6VXNlcjUwMDQ=   2012-11-05 2012-11-06                   2      True            14.0            0.996700
